,obj_id,vol_avg_dice,global_allres_sim,global_lowres_sim,global_masked_allres_sim,global_masked_lowres_sim,local_allres_sim,local_lowres_sim,local_masked_allres_sim,local_masked_lowres_sim,lesion_allres_sim,lesion_lowres_sim
248,BRATS_230.nii.gz_2,tensor(0.),"[29, 0]","[28, 1]","[18, 11]","[20, 9]","[29, 0]","[29, 0]","[12, 17]","[20, 9]","[11, 18]","[14, 15]"
249,BRATS_230.nii.gz_3,tensor(0.),"[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]"
250,BRATS_447.nii.gz_1,tensor(0.),"[52, 0]","[52, 0]","[52, 0]","[52, 0]","[52, 0]","[52, 0]","[50, 2]","[47, 5]","[21, 31]","[21, 31]"
251,BRATS_447.nii.gz_2,tensor(0.0146),"[46, 0]","[46, 0]","[37, 9]","[27, 19]","[46, 0]","[46, 0]","[28, 18]","[27, 19]","[12, 34]","[9, 37]"
252,BRATS_447.nii.gz_3,tensor(0.),"[44, 0]","[44, 0]","[37, 7]","[26, 18]","[44, 0]","[44, 0]","[33, 11]","[28, 16]","[10, 34]","[9, 35]"
253,BRATS_373.nii.gz_1,tensor(0.),"[22, 0]","[22, 0]","[19, 3]","[15, 7]","[22, 0]","[22, 0]","[6, 16]","[9, 13]","[5, 17]","[3, 19]"
254,BRATS_373.nii.gz_2,tensor(0.),"[14, 0]","[14, 0]","[9, 5]","[10, 4]","[14, 0]","[14, 0]","[5, 9]","[4, 10]","[2, 12]","[2, 12]"
255,BRATS_373.nii.gz_3,tensor(0.),"[14, 0]","[14, 0]","[10, 4]","[7, 7]","[14, 0]","[14, 0]","[6, 8]","[8, 6]","[4, 10]","[4, 10]"
256,BRATS_065.nii.gz_1,tensor(0.),"[92, 11]","[103, 0]","[86, 17]","[74, 29]","[103, 0]","[103, 0]","[53, 50]","[52, 51]","[20, 83]","[21, 82]"
257,BRATS_065.nii.gz_2,tensor(0.),"[80, 1]","[81, 0]","[41, 40]","[38, 43]","[81, 0]","[80, 1]","[34, 47]","[33, 48]","[24, 57]","[17, 64]"
258,BRATS_065.nii.gz_3,tensor(0.),"[71, 1]","[72, 0]","[37, 35]","[23, 49]","[72, 0]","[71, 1]","[49, 23]","[49, 23]","[9, 63]","[12, 60]"
259,BRATS_218.nii.gz_1,tensor(0.),"[60, 0]","[59, 1]","[49, 11]","[37, 23]","[60, 0]","[60, 0]","[49, 11]","[48, 12]","[9, 51]","[10, 50]"
260,BRATS_218.nii.gz_2,tensor(0.),"[60, 0]","[59, 1]","[52, 8]","[50, 10]","[60, 0]","[60, 0]","[34, 26]","[35, 25]","[23, 37]","[23, 37]"
261,BRATS_218.nii.gz_3,tensor(0.),"[41, 0]","[41, 0]","[19, 22]","[16, 25]","[41, 0]","[41, 0]","[21, 20]","[37, 4]","[2, 39]","[9, 32]"
262,BRATS_221.nii.gz_1,tensor(0.0039),"[48, 0]","[48, 0]","[41, 7]","[43, 5]","[48, 0]","[48, 0]","[23, 25]","[22, 26]","[16, 32]","[17, 31]"
263,BRATS_221.nii.gz_2,tensor(0.),"[33, 0]","[33, 0]","[15, 18]","[7, 26]","[33, 0]","[33, 0]","[17, 16]","[16, 17]","[10, 23]","[6, 27]"
264,BRATS_221.nii.gz_3,tensor(0.),"[29, 0]","[29, 0]","[14, 15]","[13, 16]","[29, 0]","[29, 0]","[21, 8]","[19, 10]","[16, 13]","[15, 14]"
265,BRATS_312.nii.gz_1,tensor(0.0031),"[49, 0]","[49, 0]","[42, 7]","[28, 21]","[49, 0]","[49, 0]","[48, 1]","[45, 4]","[27, 22]","[24, 25]"
266,BRATS_312.nii.gz_2,tensor(0.),"[5, 0]","[5, 0]","[1, 4]","[1, 4]","[5, 0]","[5, 0]","[2, 3]","[4, 1]","[0, 5]","[1, 4]"
267,BRATS_312.nii.gz_3,tensor(0.),"[19, 0]","[19, 0]","[5, 14]","[6, 13]","[19, 0]","[19, 0]","[4, 15]","[8, 11]","[3, 16]","[6, 13]"
268,BRATS_199.nii.gz_1,tensor(0.),"[44, 0]","[44, 0]","[39, 5]","[32, 12]","[44, 0]","[44, 0]","[37, 7]","[33, 11]","[25, 19]","[23, 21]"
269,BRATS_199.nii.gz_2,tensor(0.),"[32, 0]","[32, 0]","[14, 18]","[10, 22]","[32, 0]","[32, 0]","[11, 21]","[12, 20]","[13, 19]","[14, 18]"
270,BRATS_199.nii.gz_3,tensor(0.),"[33, 0]","[33, 0]","[23, 10]","[18, 15]","[33, 0]","[33, 0]","[16, 17]","[18, 15]","[10, 23]","[12, 21]"
271,BRATS_389.nii.gz_1,tensor(0.),"[70, 0]","[70, 0]","[70, 0]","[56, 14]","[70, 0]","[70, 0]","[64, 6]","[64, 6]","[28, 42]","[26, 44]"
272,BRATS_389.nii.gz_2,tensor(0.),"[20, 0]","[20, 0]","[16, 4]","[13, 7]","[20, 0]","[20, 0]","[15, 5]","[14, 6]","[9, 11]","[9, 11]"
273,BRATS_389.nii.gz_3,tensor(0.),"[38, 0]","[38, 0]","[17, 21]","[16, 22]","[38, 0]","[38, 0]","[29, 9]","[32, 6]","[13, 25]","[16, 22]"
274,BRATS_197.nii.gz_1,tensor(0.),"[69, 1]","[69, 1]","[69, 1]","[67, 3]","[70, 0]","[70, 0]","[62, 8]","[54, 16]","[16, 54]","[18, 52]"
275,BRATS_197.nii.gz_2,tensor(0.),"[56, 1]","[56, 1]","[44, 13]","[35, 22]","[57, 0]","[57, 0]","[27, 30]","[26, 31]","[15, 42]","[17, 40]"
276,BRATS_197.nii.gz_3,tensor(0.),"[49, 1]","[49, 1]","[16, 34]","[30, 20]","[50, 0]","[50, 0]","[33, 17]","[43, 7]","[8, 42]","[20, 30]"
277,BRATS_129.nii.gz_1,tensor(0.),"[77, 0]","[77, 0]","[73, 4]","[72, 5]","[77, 0]","[77, 0]","[67, 10]","[61, 16]","[22, 55]","[16, 61]"
278,BRATS_129.nii.gz_2,tensor(0.),"[53, 0]","[53, 0]","[44, 9]","[31, 22]","[53, 0]","[53, 0]","[17, 36]","[20, 33]","[13, 40]","[13, 40]"
279,BRATS_129.nii.gz_3,tensor(0.),"[51, 0]","[51, 0]","[42, 9]","[35, 16]","[51, 0]","[51, 0]","[40, 11]","[45, 6]","[23, 28]","[23, 28]"
280,BRATS_255.nii.gz_1,tensor(0.),"[47, 0]","[46, 1]","[42, 5]","[41, 6]","[47, 0]","[47, 0]","[27, 20]","[27, 20]","[12, 35]","[11, 36]"
